country_id,country_name,year,accommodation,purpose,duration,transport,destination,value_accomodation,value_transport,value_destination,arrivals_million
3,France,2012,"Non-rented accommodation: accommodation provided without charge by relatives or friends",NULL,NULL,NULL,NULL,115554593.0000,NULL,NULL,82.00
3,France,2012,"Non-rented accommodation: other",NULL,NULL,NULL,NULL,5343480.0000,NULL,NULL,82.00
3,France,2012,"Non-rented accommodation: own holiday home",NULL,NULL,NULL,NULL,18706517.0000,NULL,NULL,82.00
3,France,2012,"Rented accommodation: campsites, caravan or trailer park",NULL,NULL,NULL,NULL,10737156.0000,NULL,NULL,82.00
3,France,2012,"Rented accommodation: hotels or similar establishments",NULL,NULL,NULL,NULL,43216357.0000,NULL,NULL,82.00
3,France,2012,"Rented accommodation: other",NULL,NULL,NULL,NULL,31467032.0000,NULL,NULL,82.00
3,France,2012,NULL,"Personal reasons","4 nights or over",Air,NULL,NULL,13360930.0000,NULL,82.00
3,France,2012,NULL,"Personal reasons","4 nights or over","Buses, coaches",NULL,NULL,1801729.0000,NULL,82.00
3,France,2012,NULL,"Personal reasons","4 nights or over","Other land",NULL,NULL,254100.0000,NULL,82.00
3,France,2012,NULL,"Personal reasons","4 nights or over","Passenger road motor vehicles excluding buses and coaches",NULL,NULL,67834894.0000,NULL,82.00
3,France,2012,NULL,"Personal reasons","4 nights or over",Railways,NULL,NULL,13140557.0000,NULL,82.00
3,France,2012,NULL,"Personal reasons","4 nights or over",Waterway,NULL,NULL,843301.0000,NULL,82.00
3,France,2012,NULL,"Personal reasons","From 1 to 3 nights",Air,NULL,NULL,2593715.0000,NULL,82.00
3,France,2012,NULL,"Personal reasons","From 1 to 3 nights","Buses, coaches",NULL,NULL,1714032.0000,NULL,82.00
3,France,2012,NULL,"Personal reasons","From 1 to 3 nights","Other land",NULL,NULL,413788.0000,NULL,82.00
3,France,2012,NULL,"Personal reasons","From 1 to 3 nights","Passenger road motor vehicles excluding buses and coaches",NULL,NULL,86850699.0000,NULL,82.00
3,France,2012,NULL,"Personal reasons","From 1 to 3 nights",Railways,NULL,NULL,14279245.0000,NULL,82.00
3,France,2012,NULL,"Personal reasons","From 1 to 3 nights",Waterway,NULL,NULL,97748.0000,NULL,82.00
3,France,2012,NULL,"Professional, business","4 nights or over",Air,NULL,NULL,1240140.0000,NULL,82.00
