Country,Time,Accommodation,Purpose,Duration,Transport,Destination,Value_accomodation,Value_transport,Value_destination
Albania,2017,Non-rented accommodation: accommodation provided without charge by relatives or friends,,,,,3024028.0,,
Albania,2017,Non-rented accommodation: other,,,,,119017.0,,
Albania,2017,Non-rented accommodation: own holiday home,,,,,164678.0,,
Albania,2017,"Rented accommodation: campsites, caravan or trailer park",,,,,64430.0,,
Albania,2017,Rented accommodation: hotels or similar establishments,,,,,747871.0,,
Albania,2017,Rented accommodation: other,,,,,454186.0,,
Albania,2019,Non-rented accommodation: accommodation provided without charge by relatives or friends,,,,,3449836.0,,
Albania,2019,Non-rented accommodation: other,,,,,47709.0,,
Albania,2019,Non-rented accommodation: own holiday home,,,,,202706.0,,
Albania,2019,"Rented accommodation: campsites, caravan or trailer park",,,,,25430.0,,
Albania,2019,Rented accommodation: hotels or similar establishments,,,,,1165911.0,,
Albania,2019,Rented accommodation: other,,,,,459011.0,,
Albania,2020,Non-rented accommodation: accommodation provided without charge by relatives or friends,,,,,1529638.0,,
Albania,2020,Non-rented accommodation: other,,,,,61778.0,,
Albania,2020,Non-rented accommodation: own holiday home,,,,,218584.0,,
Albania,2020,"Rented accommodation: apartment, house, villa or room in a dwelling",,,,,366941.0,,
Albania,2020,"Rented accommodation: campsites, caravan or trailer park",,,,,44928.0,,
Albania,2020,Rented accommodation: hotels or similar establishments,,,,,960999.0,,
Albania,2020,Rented accommodation: other,,,,,29205.0,,
Austria,2012,Non-rented accommodation: accommodation provided without charge by relatives or friends,,,,,4174983.0,,
Austria,2012,Non-rented accommodation: other,,,,,401305.0,,
Austria,2012,Non-rented accommodation: own holiday home,,,,,346598.0,,
Austria,2012,"Rented accommodation: campsites, caravan or trailer park",,,,,492800.0,,
Austria,2012,Rented accommodation: hotels or similar establishments,,,,,13270906.0,,
Austria,2012,Rented accommodation: other,,,,,3235609.0,,
Austria,2013,Non-rented accommodation: accommodation provided without charge by relatives or friends,,,,,4285368.0,,
Austria,2013,Non-rented accommodation: other,,,,,144712.0,,
Austria,2013,Non-rented accommodation: own holiday home,,,,,488686.0,,
Austria,2013,"Rented accommodation: campsites, caravan or trailer park",,,,,566356.0,,
Austria,2013,Rented accommodation: hotels or similar establishments,,,,,13538739.0,,
Austria,2013,Rented accommodation: other,,,,,3377367.0,,
Austria,2014,Non-rented accommodation: accommodation provided without charge by relatives or friends,,,,,4830645.0,,
Austria,2014,Non-rented accommodation: other,,,,,152109.0,,
Austria,2014,Non-rented accommodation: own holiday home,,,,,505434.0,,
Austria,2014,"Rented accommodation: campsites, caravan or trailer park",,,,,431728.0,,
Austria,2014,Rented accommodation: hotels or similar establishments,,,,,12960527.0,,
Austria,2014,Rented accommodation: other,,,,,3589795.0,,
Austria,2015,Non-rented accommodation: accommodation provided without charge by relatives or friends,,,,,4528511.0,,
Austria,2015,Non-rented accommodation: other,,,,,61424.0,,
Austria,2015,Non-rented accommodation: own holiday home,,,,,514739.0,,
Austria,2015,"Rented accommodation: campsites, caravan or trailer park",,,,,427821.0,,
Austria,2015,Rented accommodation: hotels or similar establishments,,,,,12692085.0,,
Austria,2015,Rented accommodation: other,,,,,3490845.0,,
Austria,2016,Non-rented accommodation: accommodation provided without charge by relatives or friends,,,,,5165452.0,,
Austria,2016,Non-rented accommodation: other,,,,,129951.0,,
Austria,2016,Non-rented accommodation: own holiday home,,,,,500595.0,,
Austria,2016,"Rented accommodation: campsites, caravan or trailer park",,,,,546291.0,,
Austria,2016,Rented accommodation: hotels or similar establishments,,,,,13476212.0,,
Austria,2016,Rented accommodation: other,,,,,3742653.0,,
Austria,2017,Non-rented accommodation: accommodation provided without charge by relatives or friends,,,,,4774268.0,,
Austria,2017,Non-rented accommodation: other,,,,,118611.0,,
Austria,2017,Non-rented accommodation: own holiday home,,,,,595102.0,,
Austria,2017,"Rented accommodation: campsites, caravan or trailer park",,,,,493904.0,,
Austria,2017,Rented accommodation: hotels or similar establishments,,,,,13255514.0,,
Austria,2017,Rented accommodation: other,,,,,3847370.0,,
Austria,2018,Non-rented accommodation: accommodation provided without charge by relatives or friends,,,,,5430210.0,,
Austria,2018,Non-rented accommodation: other,,,,,96223.0,,
Austria,2018,Non-rented accommodation: own holiday home,,,,,537927.0,,
Austria,2018,"Rented accommodation: campsites, caravan or trailer park",,,,,468705.0,,
Austria,2018,Rented accommodation: hotels or similar establishments,,,,,13731764.0,,
Austria,2018,Rented accommodation: other,,,,,3188464.0,,
Austria,2019,Non-rented accommodation: accommodation provided without charge by relatives or friends,,,,,5757577.0,,
Austria,2019,Non-rented accommodation: other,,,,,140928.0,,
Austria,2019,Non-rented accommodation: own holiday home,,,,,588564.0,,
Austria,2019,"Rented accommodation: campsites, caravan or trailer park",,,,,453999.0,,
Austria,2019,Rented accommodation: hotels or similar establishments,,,,,14493060.0,,
Austria,2019,Rented accommodation: other,,,,,3403290.0,,
Austria,2020,Non-rented accommodation: accommodation provided without charge by relatives or friends,,,,,4373063.0,,
Austria,2020,Non-rented accommodation: other,,,,,286859.0,,
Austria,2020,Non-rented accommodation: own holiday home,,,,,1010458.0,,
Austria,2020,"Rented accommodation: apartment, house, villa or room in a dwelling",,,,,840928.0,,
Austria,2020,"Rented accommodation: campsites, caravan or trailer park",,,,,367759.0,,
Austria,2020,Rented accommodation: hotels or similar establishments,,,,,6605770.0,,
Austria,2020,Rented accommodation: other,,,,,867081.0,,
Austria,2021,Non-rented accommodation: accommodation provided without charge by relatives or friends,,,,,5395410.0,,
Austria,2021,Non-rented accommodation: other,,,,,403374.0,,
Austria,2021,Non-rented accommodation: own holiday home,,,,,1228437.0,,
Austria,2021,"Rented accommodation: apartment, house, villa or room in a dwelling",,,,,1028931.0,,
Austria,2021,"Rented accommodation: campsites, caravan or trailer park",,,,,478853.0,,
Austria,2021,Rented accommodation: hotels or similar establishments,,,,,8786325.0,,
Austria,2021,Rented accommodation: other,,,,,950987.0,,
Austria,2022,Non-rented accommodation: accommodation provided without charge by relatives or friends,,,,,7053826.0,,
Austria,2022,Non-rented accommodation: other,,,,,1023149.0,,
Austria,2022,Non-rented accommodation: own holiday home,,,,,1468060.0,,
Austria,2022,"Rented accommodation: apartment, house, villa or room in a dwelling",,,,,2002902.0,,
Austria,2022,"Rented accommodation: campsites, caravan or trailer park",,,,,821537.0,,
Austria,2022,Rented accommodation: hotels or similar establishments,,,,,14613599.0,,
Austria,2022,Rented accommodation: other,,,,,1710017.0,,
Austria,2023,Non-rented accommodation: accommodation provided without charge by relatives or friends,,,,,7222715.0,,
Austria,2023,Non-rented accommodation: other,,,,,1029713.0,,
Austria,2023,Non-rented accommodation: own holiday home,,,,,1703811.0,,
Austria,2023,"Rented accommodation: apartment, house, villa or room in a dwelling",,,,,2260512.0,,
Austria,2023,"Rented accommodation: campsites, caravan or trailer park",,,,,1161670.0,,
Austria,2023,Rented accommodation: hotels or similar establishments,,,,,16278138.0,,
Austria,2023,Rented accommodation: other,,,,,1200772.0,,
Belgium,2012,Non-rented accommodation: accommodation provided without charge by relatives or friends,,,,,1734336.0,,
Belgium,2012,Non-rented accommodation: other,,,,,91471.0,,
Belgium,2012,Non-rented accommodation: own holiday home,,,,,510021.0,,
Belgium,2012,"Rented accommodation: campsites, caravan or trailer park",,,,,466193.0,,
Belgium,2012,Rented accommodation: hotels or similar establishments,,,,,6091670.0,,
Belgium,2012,Rented accommodation: other,,,,,3460803.0,,
Belgium,2013,Non-rented accommodation: accommodation provided without charge by relatives or friends,,,,,2044823.0,,
Belgium,2013,Non-rented accommodation: other,,,,,144426.0,,
Belgium,2013,Non-rented accommodation: own holiday home,,,,,420977.0,,
Belgium,2013,"Rented accommodation: campsites, caravan or trailer park",,,,,763848.0,,
Belgium,2013,Rented accommodation: hotels or similar establishments,,,,,6976350.0,,
Belgium,2013,Rented accommodation: other,,,,,2979317.0,,
Belgium,2014,Non-rented accommodation: accommodation provided without charge by relatives or friends,,,,,1905559.0,,
Belgium,2014,Non-rented accommodation: other,,,,,130800.0,,
Belgium,2014,Non-rented accommodation: own holiday home,,,,,536906.0,,
