freq,c_dest,purpose,duration,unit,geo,time,value
A,DOM,TOTAL,N_GE1,NR,EU27_2020,2012,818977006.0
A,DOM,TOTAL,N_GE1,NR,EU27_2020,2013,795564577.0
A,DOM,TOTAL,N_GE1,NR,EU27_2020,2014,780507241.0
A,DOM,TOTAL,N_GE1,NR,EU27_2020,2015,769598755.0
A,DOM,TOTAL,N_GE1,NR,EU27_2020,2016,791264523.0
A,DOM,TOTAL,N_GE1,NR,EU27_2020,2017,812968788.0
A,DOM,TOTAL,N_GE1,NR,EU27_2020,2018,822079466.0
A,DOM,TOTAL,N_GE1,NR,EU27_2020,2019,827420229.0
A,DOM,TOTAL,N_GE1,NR,EU27_2020,2020,608631759.0
A,DOM,TOTAL,N_GE1,NR,EU27_2020,2021,739491398.0
A,DOM,TOTAL,N_GE1,NR,EU27_2020,2022,813022185.0
A,DOM,TOTAL,N_GE1,NR,EA20,2012,663236582.0
A,DOM,TOTAL,N_GE1,NR,EA20,2013,641660501.0
A,DOM,TOTAL,N_GE1,NR,EA20,2014,629260545.0
A,DOM,TOTAL,N_GE1,NR,EA20,2015,618970109.0
A,DOM,TOTAL,N_GE1,NR,EA20,2016,634152264.0
A,DOM,TOTAL,N_GE1,NR,EA20,2017,647023146.0
A,DOM,TOTAL,N_GE1,NR,EA20,2018,666347453.0
A,DOM,TOTAL,N_GE1,NR,EA20,2019,660501451.0
A,DOM,TOTAL,N_GE1,NR,EA20,2020,461861430.0
A,DOM,TOTAL,N_GE1,NR,EA20,2021,578303886.0
A,DOM,TOTAL,N_GE1,NR,EA20,2022,625646100.0
A,DOM,TOTAL,N_GE1,NR,BE,2012,2778657.0
A,DOM,TOTAL,N_GE1,NR,BE,2013,2653282.0
A,DOM,TOTAL,N_GE1,NR,BE,2014,2253573.0
A,DOM,TOTAL,N_GE1,NR,BE,2015,3246955.0
A,DOM,TOTAL,N_GE1,NR,BE,2016,2930427.0
A,DOM,TOTAL,N_GE1,NR,BE,2017,3061597.0
A,DOM,TOTAL,N_GE1,NR,BE,2018,3794289.0
A,DOM,TOTAL,N_GE1,NR,BE,2019,4116400.0
A,DOM,TOTAL,N_GE1,NR,BE,2020,3372721.0
A,DOM,TOTAL,N_GE1,NR,BE,2021,5376426.0
A,DOM,TOTAL,N_GE1,NR,BE,2022,4622248.0
A,DOM,TOTAL,N_GE1,NR,BG,2012,3106970.0
A,DOM,TOTAL,N_GE1,NR,BG,2013,3413263.0
A,DOM,TOTAL,N_GE1,NR,BG,2014,3170122.0
A,DOM,TOTAL,N_GE1,NR,BG,2015,2539380.0
A,DOM,TOTAL,N_GE1,NR,BG,2016,2988779.0
A,DOM,TOTAL,N_GE1,NR,BG,2017,4704827.0
A,DOM,TOTAL,N_GE1,NR,BG,2018,4149976.0
A,DOM,TOTAL,N_GE1,NR,BG,2019,3815682.0
A,DOM,TOTAL,N_GE1,NR,BG,2020,2303932.0
A,DOM,TOTAL,N_GE1,NR,BG,2021,2960691.0
A,DOM,TOTAL,N_GE1,NR,BG,2022,3434713.0
A,DOM,TOTAL,N_GE1,NR,CZ,2012,26880529.0
A,DOM,TOTAL,N_GE1,NR,CZ,2013,25498631.0
A,DOM,TOTAL,N_GE1,NR,CZ,2014,27042044.0
A,DOM,TOTAL,N_GE1,NR,CZ,2015,23963745.0
A,DOM,TOTAL,N_GE1,NR,CZ,2016,27039686.0
A,DOM,TOTAL,N_GE1,NR,CZ,2017,29039480.0
A,DOM,TOTAL,N_GE1,NR,CZ,2018,27179148.0
A,DOM,TOTAL,N_GE1,NR,CZ,2019,27477216.0
A,DOM,TOTAL,N_GE1,NR,CZ,2020,20691700.0
A,DOM,TOTAL,N_GE1,NR,CZ,2021,22722445.0
A,DOM,TOTAL,N_GE1,NR,CZ,2022,26148995.0
A,DOM,TOTAL,N_GE1,NR,DK,2012,21406716.0
A,DOM,TOTAL,N_GE1,NR,DK,2013,23590042.0
A,DOM,TOTAL,N_GE1,NR,DK,2014,23873536.0
A,DOM,TOTAL,N_GE1,NR,DK,2015,24370632.0
A,DOM,TOTAL,N_GE1,NR,DK,2016,21742839.0
A,DOM,TOTAL,N_GE1,NR,DK,2017,18885602.0
A,DOM,TOTAL,N_GE1,NR,DK,2018,11922150.0
A,DOM,TOTAL,N_GE1,NR,DK,2019,18931922.0
A,DOM,TOTAL,N_GE1,NR,DK,2020,16641318.0
A,DOM,TOTAL,N_GE1,NR,DK,2021,13166419.0
A,DOM,TOTAL,N_GE1,NR,DE,2012,164795239.0
A,DOM,TOTAL,N_GE1,NR,DE,2013,161123466.0
A,DOM,TOTAL,N_GE1,NR,DE,2014,153901939.0
A,DOM,TOTAL,N_GE1,NR,DE,2015,164138592.0
A,DOM,TOTAL,N_GE1,NR,DE,2016,164682477.0
A,DOM,TOTAL,N_GE1,NR,DE,2017,151175053.0
A,DOM,TOTAL,N_GE1,NR,DE,2018,159337582.0
A,DOM,TOTAL,N_GE1,NR,DE,2019,160984920.0
A,DOM,TOTAL,N_GE1,NR,DE,2020,109295843.0
A,DOM,TOTAL,N_GE1,NR,DE,2021,129490949.0
A,DOM,TOTAL,N_GE1,NR,DE,2022,135068582.0
A,DOM,TOTAL,N_GE1,NR,EE,2012,1761052.0
A,DOM,TOTAL,N_GE1,NR,EE,2013,1733585.0
A,DOM,TOTAL,N_GE1,NR,EE,2014,2572332.0
A,DOM,TOTAL,N_GE1,NR,EE,2015,2704379.0
A,DOM,TOTAL,N_GE1,NR,EE,2016,3253584.0
A,DOM,TOTAL,N_GE1,NR,EE,2017,3276711.0
A,DOM,TOTAL,N_GE1,NR,EE,2018,4399062.0
A,DOM,TOTAL,N_GE1,NR,EE,2019,3486296.0
A,DOM,TOTAL,N_GE1,NR,EE,2020,2135638.0
A,DOM,TOTAL,N_GE1,NR,EE,2021,2266531.0
A,DOM,TOTAL,N_GE1,NR,EE,2022,2639870.0
A,DOM,TOTAL,N_GE1,NR,IE,2012,6450242.0
A,DOM,TOTAL,N_GE1,NR,IE,2013,6547855.0
A,DOM,TOTAL,N_GE1,NR,IE,2014,6885695.0
A,DOM,TOTAL,N_GE1,NR,IE,2015,6920667.0
A,DOM,TOTAL,N_GE1,NR,IE,2016,7254642.0
A,DOM,TOTAL,N_GE1,NR,IE,2017,7575146.0
A,DOM,TOTAL,N_GE1,NR,IE,2018,8597288.0
A,DOM,TOTAL,N_GE1,NR,IE,2019,9118924.0
A,DOM,TOTAL,N_GE1,NR,IE,2020,6085260.0
A,DOM,TOTAL,N_GE1,NR,IE,2021,4441076.0
A,DOM,TOTAL,N_GE1,NR,IE,2022,10517093.0
A,DOM,TOTAL,N_GE1,NR,EL,2012,6506654.0
A,DOM,TOTAL,N_GE1,NR,EL,2013,4913730.0
A,DOM,TOTAL,N_GE1,NR,EL,2014,5621981.0
A,DOM,TOTAL,N_GE1,NR,EL,2015,5111088.0
A,DOM,TOTAL,N_GE1,NR,EL,2016,4872798.0
A,DOM,TOTAL,N_GE1,NR,EL,2017,5492233.0
A,DOM,TOTAL,N_GE1,NR,EL,2018,5690818.0
A,DOM,TOTAL,N_GE1,NR,EL,2019,5180116.0
A,DOM,TOTAL,N_GE1,NR,EL,2020,4447495.0
A,DOM,TOTAL,N_GE1,NR,EL,2021,4832849.0
A,DOM,TOTAL,N_GE1,NR,EL,2022,5990073.0
A,DOM,TOTAL,N_GE1,NR,ES,2012,126231754.0
A,DOM,TOTAL,N_GE1,NR,ES,2013,122373916.0
A,DOM,TOTAL,N_GE1,NR,ES,2014,117619961.0
A,DOM,TOTAL,N_GE1,NR,ES,2015,123922962.0
A,DOM,TOTAL,N_GE1,NR,ES,2016,132200905.0
A,DOM,TOTAL,N_GE1,NR,ES,2017,138356811.0
A,DOM,TOTAL,N_GE1,NR,ES,2018,138937957.0
A,DOM,TOTAL,N_GE1,NR,ES,2019,137191009.0
A,DOM,TOTAL,N_GE1,NR,ES,2020,74749663.0
A,DOM,TOTAL,N_GE1,NR,ES,2021,107727044.0
A,DOM,TOTAL,N_GE1,NR,ES,2022,124602722.0
A,DOM,TOTAL,N_GE1,NR,FR,2012,200379660.0
A,DOM,TOTAL,N_GE1,NR,FR,2013,199530099.0
A,DOM,TOTAL,N_GE1,NR,FR,2014,198929164.0
A,DOM,TOTAL,N_GE1,NR,FR,2015,175366181.0
A,DOM,TOTAL,N_GE1,NR,FR,2016,172473304.0
A,DOM,TOTAL,N_GE1,NR,FR,2017,192363960.0
A,DOM,TOTAL,N_GE1,NR,FR,2018,190570732.0
A,DOM,TOTAL,N_GE1,NR,FR,2019,186941827.0
A,DOM,TOTAL,N_GE1,NR,FR,2020,152200371.0
A,DOM,TOTAL,N_GE1,NR,FR,2021,187657385.0
A,DOM,TOTAL,N_GE1,NR,FR,2022,202475552.0
A,DOM,TOTAL,N_GE1,NR,HR,2012,6055907.0
A,DOM,TOTAL,N_GE1,NR,HR,2013,6224881.0
A,DOM,TOTAL,N_GE1,NR,HR,2014,5410179.0
A,DOM,TOTAL,N_GE1,NR,HR,2015,4039589.0
A,DOM,TOTAL,N_GE1,NR,HR,2016,2926409.0
A,DOM,TOTAL,N_GE1,NR,HR,2017,2976420.0
A,DOM,TOTAL,N_GE1,NR,HR,2018,3197253.0
A,DOM,TOTAL,N_GE1,NR,HR,2019,3708275.0
A,DOM,TOTAL,N_GE1,NR,HR,2020,2510249.0
A,DOM,TOTAL,N_GE1,NR,HR,2021,3278070.0
A,DOM,TOTAL,N_GE1,NR,HR,2022,3148238.0
A,DOM,TOTAL,N_GE1,NR,IT,2012,50614621.0
A,DOM,TOTAL,N_GE1,NR,IT,2013,40815094.0
A,DOM,TOTAL,N_GE1,NR,IT,2014,43516686.0
A,DOM,TOTAL,N_GE1,NR,IT,2015,40676346.0
A,DOM,TOTAL,N_GE1,NR,IT,2016,47137014.0
A,DOM,TOTAL,N_GE1,NR,IT,2017,45046373.0
A,DOM,TOTAL,N_GE1,NR,IT,2018,53850080.0
A,DOM,TOTAL,N_GE1,NR,IT,2019,47582528.0
A,DOM,TOTAL,N_GE1,NR,IT,2020,29134016.0
A,DOM,TOTAL,N_GE1,NR,IT,2021,32361461.0
A,DOM,TOTAL,N_GE1,NR,IT,2022,38008674.0
A,DOM,TOTAL,N_GE1,NR,CY,2012,1369788.0
A,DOM,TOTAL,N_GE1,NR,CY,2013,1303855.0
A,DOM,TOTAL,N_GE1,NR,CY,2014,1297214.0
A,DOM,TOTAL,N_GE1,NR,CY,2015,1303055.0
A,DOM,TOTAL,N_GE1,NR,CY,2016,1374634.0
A,DOM,TOTAL,N_GE1,NR,CY,2017,1393032.0
A,DOM,TOTAL,N_GE1,NR,CY,2018,1566420.0
A,DOM,TOTAL,N_GE1,NR,CY,2019,1636627.0
A,DOM,TOTAL,N_GE1,NR,CY,2020,1698743.0
A,DOM,TOTAL,N_GE1,NR,CY,2021,1870923.0
A,DOM,TOTAL,N_GE1,NR,CY,2022,1689154.0
A,DOM,TOTAL,N_GE1,NR,LV,2012,3796070.0
A,DOM,TOTAL,N_GE1,NR,LV,2013,3156196.0
